id_locacao,modelo,categoria,dias_locacao
1,Onix,Economico,5
2,HB20,Economico,7
3,Corolla,Executivo,10
4,Argo,Economico,4
5,Tracker,SUV,8
6,Onix,Economico,6
7,Compass,SUV,12
8,HB20,Economico,7
9,Corolla,Executivo,9
10,Argo,Economico,5
11,Kwid,Economico,3
12,T-Cross,SUV,8
13,Onix,Economico,6
14,HB20,Economico,8
15,Corolla,Executivo,11
16,Argo,Economico,5
17,Tracker,SUV,7
18,Onix,Economico,4
19,Compass,SUV,10
20,HB20,Economico,6
21,Corolla,Executivo,8
22,Argo,Economico,7
23,Kwid,Economico,4
24,T-Cross,SUV,9
25,Onix,Economico,5
26,HB20,Economico,7
27,Corolla,Executivo,12
28,Argo,Economico,6
29,Tracker,SUV,8
30,Onix,Economico,5
31,Compass,SUV,11
32,HB20,Economico,7
33,Corolla,Executivo,9
34,Argo,Economico,4
35,Kwid,Economico,6
36,T-Cross,SUV,8
37,Onix,Economico,7
38,HB20,Economico,5
39,Corolla,Executivo,10
40,Argo,Economico,6
41,Tracker,SUV,9
42,Onix,Economico,7
43,Compass,SUV,13
44,HB20,Economico,6
45,Corolla,Executivo,8
46,Argo,Economico,5
47,Kwid,Economico,4
48,T-Cross,SUV,10
49,Onix,Economico,6
50,HB20,Economico,7
51,Corolla,Executivo,11
52,Argo,Economico,5
53,Tracker,SUV,8
54,Onix,Economico,4
55,Compass,SUV,9
56,HB20,Economico,7
57,Corolla,Executivo,10
58,Argo,Economico,6
59,Kwid,Economico,5
60,T-Cross,SUV,8
61,Onix,Economico,7
62,HB20,Economico,6
63,Corolla,Executivo,9
64,Argo,Economico,5
65,Tracker,SUV,7
66,Onix,Economico,6
67,Compass,SUV,12
68,HB20,Economico,8
69,Corolla,Executivo,10
70,Argo,Economico,4
71,Kwid,Economico,3
72,T-Cross,SUV,9
73,Onix,Economico,5
74,HB20,Economico,7
75,Corolla,Executivo,11
76,Argo,Economico,6
77,Tracker,SUV,8
78,Onix,Economico,7
79,Compass,SUV,10
80,HB20,Economico,5
81,Corolla,Executivo,9
82,Argo,Economico,4
83,Kwid,Economico,6
84,T-Cross,SUV,8
85,Onix,Economico,7
86,HB20,Economico,6
87,Corolla,Executivo,12
88,Argo,Economico,5
89,Tracker,SUV,9
90,Onix,Economico,4
91,Compass,SUV,11
92,HB20,Economico,7
93,Corolla,Executivo,10
94,Argo,Economico,6
95,Kwid,Economico,5
96,T-Cross,SUV,8
97,Onix,Economico,6
98,HB20,Economico,7
99,Corolla,Executivo,9
100,Argo,Economico,5
101,Tracker,SUV,8
102,Onix,Economico,6
103,Compass,SUV,14
104,HB20,Economico,7
105,Corolla,Executivo,11
106,Argo,Economico,4
107,Kwid,Economico,3
108,T-Cross,SUV,10
109,Onix,Economico,5
110,HB20,Economico,8
111,Corolla,Executivo,9
112,Argo,Economico,6
113,Tracker,SUV,7
114,Onix,Economico,5
115,Compass,SUV,12
116,HB20,Economico,7
117,Corolla,Executivo,10
118,Argo,Economico,5
119,Kwid,Economico,4
120,T-Cross,SUV,9
